aaa,9896629,8903,141,221
aab,9799401,9175,41,68
aac,9969444,10732,187,292
aad,9688075,7976,33,71
aae,9938527,7694,64,218
aaf,9999302,8195,9,38
aag,9879542,7655,206,354
aba,9892705,9651,13,37
abb,9664945,9770,81,224
abc,9892611,8825,167,305
abd,9820281,9021,69,148
abe,9800745,7717,141,239
abf,9976781,9819,18,37
abg,9499958,9760,154,272
aca,9205851,9341,304,451
acb,9957997,8657,69,239
acc,9777648,9565,38,64
acd,9977790,8016,327,522
ace,9979183,8960,72,208
acf,9874499,8153,5,6
acg,9950893,11098,695,1176
ada,9889549,9645,5,16
adb,9866668,8413,213,361
adc,9989006,8906,308,477
add,9899471,7377,72,206
ade,9999412,11216,121,338
adf,9997968,8879,170,291
adg,9987481,8880,20,51
aea,9929953,10226,44,166
aeb,9701253,9748,80,112
aec,9921577,6854,200,285
aed,9678173,8483,72,121
aee,9947007,8607,431,751
aef,9671553,8850,136,244
aeg,9854346,10956,133,352
afa,9946069,10241,83,325
afb,9876415,8561,79,230
afc,9754272,8270,29,74
afd,9947450,9373,18,58
afe,9610655,8747,76,185
aff,9552833,7559,157,271
afg,9505913,7618,233,348
aga,9731521,9457,143,282
agb,9918278,10354,113,241
agc,9885384,9978,233,392
agd,9764852,8044,122,185
age,9896542,8578,96,286
agf,9971370,10147,37,103
agg,9907560,9821,5,11
baa,9907610,7284,5,14
bab,9816969,9789,128,169
bac,9828453,8317,140,273
bad,9832863,7809,60,85
bae,9976814,10573,61,118
baf,9982538,7720,142,248
bag,9759220,10206,49,73
bba,9966206,8450,81,128
bbb,9804043,8370,170,287
bbc,9948074,8212,157,277
bbd,9940377,9370,79,124
bbe,9880588,9578,6,18
bbf,9498003,8765,147,252
bbg,9798631,8294,167,233
bca,9918547,9455,102,152
bcb,9937734,7639,13,45
bcc,9873687,8997,325,600
bcd,9849178,7217,98,152
bce,9843475,8535,96,254
bcf,9866687,9849,148,302
bcg,9617655,9100,182,332
bda,9874877,8503,25,70
bdb,9428727,8648,144,288
bdc,9902385,9313,70,138
bdd,9957417,9161,69,121
bde,9777617,9493,194,396
bdf,9977839,9157,19,68
bdg,9939350,10624,150,369
bea,9973947,8211,18,41
beb,9695767,9387,81,168
bec,9911223,8588,49,129
bed,9886359,9002,24,56
bee,9889453,8698,187,289
bef,9925609,6550,55,130
beg,9808883,9811,203,325
bfa,9869689,8315,27,70
bfb,9925117,9202,164,305
bfc,9955466,8902,8,25
bfd,9997524,6559,305,443
bfe,9862718,9151,157,317
bff,9724249,9488,684,1262
bfg,9636682,11683,163,313
bga,9603139,9198,170,309
bgb,9448355,9025,119,190
